,hvstGrupp,hvstCo,fcluHg,grwtLt,lefLt,frmWeek,lefCunt,lefBt,stemThck,ec,ph,cunt,otmsuplyqy
3017,10.25,1.25,35.7,14.925,36.5,5,11.0,43.4,9.8375,2.7821739130000003,7.0523913039999995,23.0,26.00487623
3018,10.25,1.25,35.7,14.925,36.5,5,11.0,43.4,9.8375,2.766136364,7.0634090910000005,22.0,26.0374201
3019,10.25,1.25,35.7,14.925,36.5,5,11.0,43.4,9.8375,2.7605,7.03875,20.0,26.25929956
3020,10.25,1.25,35.7,14.925,36.5,5,11.0,43.4,9.8375,2.753913044,7.037391304,23.0,25.87702532
3021,10.25,1.25,35.7,14.925,36.5,5,11.0,43.4,9.8375,2.724411765,7.058823529,17.0,25.98081018
3022,10.25,1.25,35.7,14.925,36.5,5,11.0,43.4,9.8375,2.739130435,7.074782609,23.0,25.87702532
3023,10.25,1.25,35.7,14.925,36.5,5,11.0,43.4,9.8375,2.722291667,7.117083332999999,24.0,25.9505396
3024,11.75,1.25,25.3666666666667,27.6,44.275,6,11.75,40.7,9.295,2.782380952,7.075238095,21.0,25.96104163
3025,11.75,1.25,25.3666666666667,27.6,44.275,6,11.75,40.7,9.295,2.7230000000000003,7.097666667,15.0,25.91623293
3026,11.75,1.25,25.3666666666667,27.6,44.275,6,11.75,40.7,9.295,2.5639999999999996,7.086333333,15.0,25.91623293
3027,11.75,1.25,25.3666666666667,27.6,44.275,6,11.75,40.7,9.295,2.7689999999999997,7.091666667,15.0,26.03385578
3028,11.75,1.25,25.3666666666667,27.6,44.275,6,11.75,40.7,9.295,2.7369230769999997,7.045,13.0,26.10322309
3029,11.75,1.25,25.3666666666667,27.6,44.275,6,11.75,40.7,9.295,2.71,6.989090909,11.0,25.93049025
3030,11.75,1.25,25.3666666666667,27.6,44.275,6,11.75,40.7,9.295,2.786428571,6.938571429,14.0,26.46513953
3031,12.0,0.25,19.5,15.933333333333302,42.075,7,8.5,36.625,9.25,2.7090625,6.8940625,16.0,26.06081101
