,grwtLt,lefLt,frmWeek,lefCunt,lefBt,stemThck,ec,ph,cunt,otmsuplyqy
1991,0.0,0.0,34,0.0,0.0,0.0,1.5,6.0,4.0,40.0
1992,0.0,0.0,34,0.0,0.0,0.0,1.5,6.0,1.0,40.0
1993,0.0,0.0,34,0.0,0.0,0.0,2.157400973,6.0,5.0,40.0
1994,0.0,0.0,34,0.0,0.0,0.0,2.5,6.0,4.7294837560000005,48.735
1995,0.0,0.0,34,0.0,0.0,0.0,2.5,6.0,5.0,50.0
1996,0.0,0.0,34,0.0,0.0,0.0,2.5,6.0,5.0,50.0
1997,0.0,0.0,34,0.0,0.0,0.0,2.3970833330000003,6.0,4.083930723,89.87455197
1998,0.0,0.0,35,0.0,0.0,0.0,2.3,6.0,3.288798472,94.88317757
1999,0.0,0.0,35,0.0,0.0,0.0,2.3,6.0,1.010714286,70.0
2000,0.0,0.0,35,0.0,0.0,0.0,2.3,6.0,1.0,70.0
2001,0.0,0.0,35,0.0,0.0,0.0,2.436944444,6.0,8.449150821,65.05714286
2002,0.0,0.0,35,0.0,0.0,0.0,2.5,6.0,9.963006586,57.8515625
2003,0.0,0.0,35,0.0,0.0,0.0,2.5,6.0,9.742891251,57.6796875
2004,0.0,0.0,35,0.0,0.0,0.0,2.5,6.0,10.98,50.0
2005,0.0,38.975,36,12.5,12.1,0.0,2.5,6.0,5.98,50.0
2006,0.0,38.975,36,12.5,12.1,0.0,2.5,6.0,2.0,50.0
2007,0.0,38.975,36,12.5,12.1,0.0,2.5,6.0,1.0,50.0
2008,0.0,38.975,36,12.5,12.1,0.0,2.5,6.0,3.0064516130000003,69.85074627
2009,0.0,38.975,36,12.5,12.1,0.0,2.5,6.0,7.156871118,67.83333333
2010,0.0,38.975,36,12.5,12.1,0.0,2.5,6.0,11.98,50.0
2011,0.0,38.975,36,12.5,12.1,0.0,2.5,6.0,8.215956842999999,66.30094044
2012,28.525,47.1,37,13.75,16.3,6.8275,2.5,6.0,9.859375,80.0
2013,28.525,47.1,37,13.75,16.3,6.8275,2.5,6.0,7.9875,80.0
2014,28.525,47.1,37,13.75,16.3,6.8275,2.498263889,5.995833332999999,8.9875,80.0
2015,28.525,47.1,37,13.75,16.3,6.8275,2.5,6.0,2.711109413,77.68011527
2016,28.525,47.1,37,13.75,16.3,6.8275,2.49305073,5.983321751,10.9875,80.0
2017,28.525,47.1,37,13.75,16.3,6.8275,2.5,6.0,10.98571429,70.0
